FirstName,LastName,Username,Department,OU
John,Smith,john.smith,Sales,Sales
Sarah,Johnson,sarah.johnson,Sales,Sales
Michael,Williams,michael.williams,Sales,Sales
Emily,Brown,emily.brown,Sales,Sales
David,Jones,david.jones,Sales,Sales
Jessica,Davis,jessica.davis,Sales,Sales
Daniel,Miller,daniel.miller,Sales,Sales
Ashley,Wilson,ashley.wilson,Sales,Sales
Matthew,Moore,matthew.moore,Sales,Sales
Amanda,Taylor,amanda.taylor,Sales,Sales
Christopher,Anderson,christopher.anderson,Sales,Sales
Jennifer,Thomas,jennifer.thomas,Sales,Sales
Robert,Jackson,robert.jackson,HR,HR
Linda,White,linda.white,HR,HR
William,Harris,william.harris,HR,HR
Patricia,Martin,patricia.martin,HR,HR
Richard,Thompson,richard.thompson,HR,HR
Barbara,Garcia,barbara.garcia,HR,HR
Joseph,Martinez,joseph.martinez,HR,HR
Susan,Robinson,susan.robinson,HR,HR
Thomas,Clark,thomas.clark,HR,HR
Nancy,Rodriguez,nancy.rodriguez,HR,HR
Charles,Lewis,charles.lewis,HR,HR
Karen,Lee,karen.lee,HR,HR
Steven,Walker,steven.walker,IT,IT
Lisa,Hall,lisa.hall,IT,IT
Paul,Allen,paul.allen,IT,IT
Betty,Young,betty.young,IT,IT
Mark,Hernandez,mark.hernandez,IT,IT
Dorothy,King,dorothy.king,IT,IT
Donald,Wright,donald.wright,IT,IT
Sandra,Lopez,sandra.lopez,IT,IT
George,Hill,george.hill,IT,IT
Ashley,Scott,ashley.scott,IT,IT
Kenneth,Green,kenneth.green,IT,IT
Kimberly,Adams,kimberly.adams,IT,IT
Edward,Baker,edward.baker,Finance,Finance
Donna,Nelson,donna.nelson,Finance,Finance
Brian,Carter,brian.carter,Finance,Finance
Carol,Mitchell,carol.mitchell,Finance,Finance
Ronald,Perez,ronald.perez,Finance,Finance
Michelle,Roberts,michelle.roberts,Finance,Finance
Anthony,Turner,anthony.turner,Finance,Finance
Laura,Phillips,laura.phillips,Finance,Finance
Kevin,Campbell,kevin.campbell,Finance,Finance
Sarah,Parker,sarah.parker,Finance,Finance
Jason,Evans,jason.evans,Finance,Finance
Rebecca,Edwards,rebecca.edwards,Finance,Finance
Jeffrey,Collins,jeffrey.collins,Marketing,Marketing
Sharon,Stewart,sharon.stewart,Marketing,Marketing
Ryan,Sanchez,ryan.sanchez,Marketing,Marketing
Cynthia,Morris,cynthia.morris,Marketing,Marketing
Jacob,Rogers,jacob.rogers,Marketing,Marketing
Kathleen,Reed,kathleen.reed,Marketing,Marketing
Gary,Cook,gary.cook,Marketing,Marketing
Amy,Morgan,amy.morgan,Marketing,Marketing
Nicholas,Bell,nicholas.bell,Marketing,Marketing
Angela,Murphy,angela.murphy,Marketing,Marketing
Eric,Bailey,eric.bailey,Marketing,Marketing
Stephanie,Rivera,stephanie.rivera,Marketing,Marketing
